100,97.0
200,95.0
300,94.3333333333
400,92.5
500,92.6
600,88.1666666667
700,86.4285714286
800,87.125
900,88.5555555556
1000,87.9
800,99.25
800,23.125
800,23.875
800,23.875
800,41.0
800,23.875
800,38.375
800,25.375
800,20.375
800,62.25
800,58.5
800,62.25
800,43.5
800,43.5
800,62.25
800,37.25
800,43.25
800,24.25
800,25.375
800,33.375
800,33.375
800,33.375
8,62.5
8,62.5
800,52.75
8,62.5
800,48.125
800,49.0
800,25.375
800,38.375
800,62.25
800,62.25
800,25.375
800,23.875
800,23.875
800,25.375
800,62.25
800,29.25
800,62.25
800,62.25
800,56.0
800,44.75
800,62.25
800,55.5
800,82.5
800,87.125
80000,83.1825
800,87.125
